Export_country,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Netherlands,Oman,Russia,Slovakia,South Korea,Taiwan,Turkey,Ukraine,United Kingdom,United States,Vietnam
Austria,1.0,0.7404608876097362,-0.33296021897951694,-0.3968031621750441,0.004132382459475083,0.4641732935930503,0.6321257222428341,-0.5192790338830376,-0.5079793608100139,-0.25937923777259303,0.6488323605114692,0.5811958815692296,-0.45599473025630377,-0.455909772864431,0.6627119068882448,-0.37361703610363894,-0.059917888477946726,0.023145816974995286,0.3075604117801105,0.5443618975941045,-0.3518847066956315,0.5006739538364512,0.639239804413143,-0.23262044294353262,-0.5521510341221157
Belgium,0.7404608876097362,1.0,-0.1164222537226564,-0.6068037298568955,0.07748280781847722,0.4935529813057607,0.6733173769434572,-0.6334328352443522,-0.5202895210746943,0.013369757801800677,0.8395378869141487,0.25273080793014635,-0.26581677085021527,-0.6051571695467812,0.6057576980741584,-0.5231859772265941,0.12153832777234358,0.14805537260449886,0.15742631742047858,0.27869993274699906,-0.2841609119601722,0.3930513004205932,0.32229349580956623,-0.25160046511792417,-0.5221688545135469
Brazil,-0.33296021897951694,-0.1164222537226564,1.0,0.29874918529057404,0.09456618639367956,-0.4559447189744998,0.03643157796889503,0.1508420489822074,0.1842928994809245,0.26384807018549805,-0.4062451899651871,-0.2518395044273647,0.37469148163951227,0.18233936329016842,-0.294303652276445,0.34863945046787437,-0.4193970485528072,-0.018400695529666257,0.24466487554114277,-0.1524645856242423,0.22434949514013,-0.6041411875116245,-0.32807272796851905,0.5338464965218617,0.07775068393994757
Canada,-0.3968031621750441,-0.6068037298568955,0.29874918529057404,1.0,-0.2840912151717032,-0.4623854537120903,-0.21445207375981032,0.5208970548071312,0.41022921044117944,0.28076834259681616,-0.7418647515067062,-0.029868310314740614,0.41942998964881556,0.8201397023230012,-0.4903077847535134,0.8438353000333597,-0.5802348697530558,-0.0636647211842499,0.3283742301527955,0.2140345293305286,0.42477162861900963,-0.6285340419931834,-0.29815159713528916,0.8007977149725314,0.2921977705927572
China (mainland),0.004132382459475083,0.07748280781847722,0.09456618639367956,-0.2840912151717032,1.0,0.016175399752950584,0.10562871116874423,-0.53728511775385,0.017108573533227225,0.12199741420680776,0.10460992473379849,0.03166104517219984,-0.4702734633690958,-0.5531419399016106,0.11882355600528464,-0.31854759370026686,-0.26271334200875185,0.29453804848167114,-0.098877648585912,-0.08278844403142081,-0.5815708136254183,-0.27002073767947676,0.05939750692243642,-0.2261645630573229,-0.4362420268223043
France,0.4641732935930503,0.4935529813057607,-0.4559447189744998,-0.4623854537120903,0.016175399752950584,1.0,0.3620969572472798,-0.598845775999803,-0.6909083510387773,-0.18019776622806757,0.5926828489802385,0.34703731632735435,-0.4109585168381158,-0.4378468805647852,0.6213139528477584,-0.5736303494471003,0.41585433443752107,0.32252627524060323,-0.10159182421685482,0.10966326187395435,-0.10796701978155207,0.47444530410381947,0.45551848213274637,-0.4502853561146639,-0.4678242421412451
Germany,0.6321257222428341,0.6733173769434572,0.03643157796889503,-0.21445207375981032,0.10562871116874423,0.3620969572472798,1.0,-0.5816183705065237,-0.29766342515115063,0.17436569182270653,0.5198511417692366,0.2172226823860429,-0.1382281194465206,-0.25837122790085787,0.5666979489585029,-0.08453512309892616,-0.27078419051509756,0.1643716977507239,0.3947040794931553,0.3536004115973622,-0.1827604884053883,0.04605858299390466,0.16864308131832428,0.0675548392598498,-0.4168563019063216
India,-0.5192790338830376,-0.6334328352443522,0.1508420489822074,0.5208970548071312,-0.53728511775385,-0.598845775999803,-0.5816183705065237,1.0,0.5296534684858984,0.08012004043467451,-0.6308030877603569,-0.33863134757130964,0.5112782391078834,0.6264789856359354,-0.614327035609765,0.5350873798442881,-0.04953846419192004,-0.2967618676665324,-0.12983489900206585,-0.19635702156751725,0.3602484247627867,-0.2572730045710173,-0.42872839489085285,0.37571022145047717,0.7439863203577419
Indonesia,-0.5079793608100139,-0.5202895210746943,0.1842928994809245,0.41022921044117944,0.017108573533227225,-0.6909083510387773,-0.29766342515115063,0.5296534684858984,1.0,0.36501644526972815,-0.4904300770581315,-0.5865411320079178,0.5008057372060409,0.47169658911996665,-0.6546091495874895,0.6051927459806241,-0.3421357446089036,-0.3650641199526262,-0.10538656155452829,-0.2539302324502315,0.19451322879617272,-0.5629348575197304,-0.5871217117007933,0.39549123616400333,0.6096766563636802
Iran,-0.25937923777259303,0.013369757801800677,0.26384807018549805,0.28076834259681616,0.12199741420680776,-0.18019776622806757,0.17436569182270653,0.08012004043467451,0.36501644526972815,1.0,-0.1477545303456648,-0.3887108604389392,0.168347469346772,0.14819711267857869,-0.14048771030481388,0.3113153816380752,-0.31814429736655153,0.33857908316466495,0.03007915441094515,-0.15144832131073407,-0.014743791252759637,-0.6262590314792754,-0.5849888426627293,0.5334676541546963,0.09573718797578244
